date,Load_t
2023-12-31,44072.21041666667
2024-01-01,45346.994999999995
2024-01-02,50717.41541666666
2024-01-03,48731.90833333333
2024-01-04,48622.50416666667
2024-01-05,46878.33958333333
2024-01-06,47080.175833333335
2024-01-07,46919.31
2024-01-08,47346.7875
2024-01-09,52279.68166666667
2024-01-10,50590.18041666667
2024-01-11,46289.847083333334
2024-01-12,49032.34916666666
2024-01-13,51583.28416666667
2024-01-14,63512.52166666667
2024-01-15,72486.21625
2024-01-16,71483.36458333333
2024-01-17,65336.0825
2024-01-18,50876.7225
2024-01-19,55990.67916666667
2024-01-20,61463.06166666667
2024-01-21,59246.13291666666
2024-01-22,53899.079999999994
2024-01-23,48019.30375
2024-01-24,46372.75833333333
2024-01-25,44997.340416666666
2024-01-26,45596.07708333334
2024-01-27,45209.00208333333
2024-01-28,46019.637083333335
2024-01-29,45732.213333333326
2024-01-30,44003.95416666666
2024-01-31,43353.74875
2024-02-01,42660.15708333333
2024-02-02,42350.38416666666
2024-02-03,40912.5025
2024-02-04,41738.43708333333
2024-02-05,43855.96083333334
2024-02-06,44154.692500000005
2024-02-07,43678.79958333333
2024-02-08,42861.299999999996
2024-02-09,43318.542083333334
2024-02-10,41961.38291666667
2024-02-11,43677.903333333335
2024-02-12,46969.28875
2024-02-13,46514.87291666667
2024-02-14,44645.71583333333
2024-02-15,42513.92458333333
2024-02-16,42684.683333333334
2024-02-17,48893.12208333333
2024-02-18,48633.89875
2024-02-19,47263.50125
2024-02-20,44439.60125
2024-02-21,43245.58708333333
2024-02-22,43829.67041666667
2024-02-23,42043.06125
2024-02-24,41428.52416666666
2024-02-25,41936.551666666666
2024-02-26,45942.62291666667
2024-02-27,46832.28833333333
2024-02-28,45106.18041666667
2024-02-29,47664.388750000006
2024-03-01,44953.055
2024-03-02,42428.325000000004
2024-03-03,42988.565
2024-03-04,46266.76708333333
2024-03-05,46416.15
2024-03-06,44995.13458333333
2024-03-07,44618.51583333334
2024-03-08,45463.589166666665
2024-03-09,41861.49833333333
2024-03-10,40923.15260869565
2024-03-11,42245.62416666667
2024-03-12,43192.24083333334
2024-03-13,45923.17958333334
2024-03-14,47203.12333333333
2024-03-15,45483.137083333335
2024-03-16,42129.939999999995
2024-03-17,41781.698333333334
2024-03-18,42861.66166666667
2024-03-19,43353.35666666667
2024-03-20,42628.72041666667
2024-03-21,42986.72375
2024-03-22,43845.426666666666
2024-03-23,41514.9675
2024-03-24,41487.66458333333
2024-03-25,44055.83375
2024-03-26,43024.28291666667
2024-03-27,43248.176666666666
2024-03-28,43489.310000000005
2024-03-29,43136.88916666667
2024-03-30,42927.34166666667
2024-03-31,43645.041666666664
2024-04-01,48036.01458333334
2024-04-02,44831.917083333334
2024-04-03,42765.15458333333
2024-04-04,44410.905
2024-04-05,45837.013333333336
2024-04-06,44176.013333333336
2024-04-07,44922.71458333333
2024-04-08,47067.915
2024-04-09,47531.07208333333
2024-04-10,43895.80833333333
2024-04-11,43413.442083333335
2024-04-12,44018.076250000006
2024-04-13,43944.30375
2024-04-14,45859.21333333334
2024-04-15,48738.630000000005
2024-04-16,49453.270833333336
2024-04-17,50818.05125
2024-04-18,52145.79791666666
2024-04-19,47475.12125
2024-04-20,44858.895416666666
2024-04-21,40818.005833333336
2024-04-22,42858.4675
2024-04-23,44609.07041666666
2024-04-24,48502.55416666667
2024-04-25,49391.7825
2024-04-26,49948.13999999999
2024-04-27,50149.94125
2024-04-28,47370.65541666667
2024-04-29,51439.395
2024-04-30,52597.330416666664
2024-05-01,51529.69666666666
2024-05-02,50349.862499999996
2024-05-03,50299.27333333334
2024-05-04,48558.630416666674
2024-05-05,47188.10208333333
2024-05-06,53187.73416666667
2024-05-07,56429.645416666666
2024-05-08,57820.74958333333
2024-05-09,56203.08958333333
2024-05-10,51443.935
2024-05-11,47179.856250000004
2024-05-12,46225.40458333333
2024-05-13,50072.79083333333
2024-05-14,51236.67208333334
2024-05-15,54128.32833333333
2024-05-16,49163.16583333333
2024-05-17,46350.32708333334
2024-05-18,52119.705416666664
2024-05-19,55576.4025
2024-05-20,58298.034583333334
2024-05-21,59916.690833333334
2024-05-22,58815.31291666667
2024-05-23,58735.46833333333
2024-05-24,60559.09416666667
2024-05-25,59554.29666666666
2024-05-26,60304.267499999994
2024-05-27,61964.82874999999
2024-05-28,55880.63208333333
2024-05-29,55416.825000000004
2024-05-30,56718.38416666666
2024-05-31,53021.48166666667
2024-06-01,53617.57874999999
2024-06-02,56565.075000000004
2024-06-03,60138.98416666667
2024-06-04,62556.91541666666
2024-06-05,58724.950000000004
2024-06-06,60365.583333333336
2024-06-07,62417.69208333333
2024-06-08,61875.457083333335
2024-06-09,60766.44041666667
2024-06-10,59656.15791666667
2024-06-11,57668.81791666666
2024-06-12,59130.7175
2024-06-13,62078.830416666664
2024-06-14,62841.48291666667
2024-06-15,61236.11375
2024-06-16,61926.666666666664
2024-06-17,64699.145833333336
2024-06-18,62452.89875
2024-06-19,56348.089166666665
2024-06-20,59988.059166666666
2024-06-21,61836.137500000004
2024-06-22,61441.46875
2024-06-23,62190.8425
2024-06-24,66021.22083333334
2024-06-25,67473.42083333334
2024-06-26,67795.98916666667
2024-06-27,67522.08916666666
2024-06-28,68324.79208333333
2024-06-29,67577.39541666667
2024-06-30,66292.01791666666
2024-07-01,68148.30041666667
2024-07-02,68409.46708333334
2024-07-03,67653.39708333333
2024-07-04,66574.23875
2024-07-05,62900.43833333333
2024-07-06,59438.95166666667
2024-07-07,58227.91625
2024-07-08,49691.23499999999
2024-07-09,53406.88416666666
2024-07-10,56837.049999999996
2024-07-11,57853.44708333333
2024-07-12,57249.86958333334
2024-07-13,56204.20166666667
2024-07-14,58868.19375
2024-07-15,64148.8425
2024-07-16,65673.47041666666
2024-07-17,63134.99166666667
2024-07-18,59402.674999999996
2024-07-19,60286.84791666667
2024-07-20,59486.04541666667
2024-07-21,57447.67208333334
2024-07-22,57460.28625
2024-07-23,55756.86083333333
2024-07-24,57266.21291666667
2024-07-25,56889.417083333334
2024-07-26,55567.73291666667
2024-07-27,55351.60125
2024-07-28,57962.325000000004
2024-07-29,65304.924999999996
2024-07-30,66445.02958333334
2024-07-31,66821.18083333333
2024-08-01,65544.44499999999
2024-08-02,66746.44666666667
2024-08-03,65450.322916666664
2024-08-04,63154.86875
2024-08-05,65315.489583333336
2024-08-06,66417.98958333333
2024-08-07,68565.51375
2024-08-08,69344.91083333334
2024-08-09,66878.05708333333
2024-08-10,64511.02208333334
2024-08-11,65789.04333333333
2024-08-12,68641.58125
2024-08-13,69196.58833333333
2024-08-14,69364.64416666667
2024-08-15,69713.61625
2024-08-16,70251.97
2024-08-17,68635.36416666667
2024-08-18,68430.775
2024-08-19,70274.18416666666
2024-08-20,70424.46916666666
2024-08-21,70329.50916666667
2024-08-22,70882.44083333334
2024-08-23,70480.78791666667
2024-08-24,65744.25749999999
2024-08-25,64466.73375000001
2024-08-26,63352.56125
2024-08-27,62012.55416666667
2024-08-28,62211.2575
2024-08-29,61111.94541666666
2024-08-30,60609.56166666667
2024-08-31,59725.42041666667
2024-09-01,58062.89833333334
2024-09-02,57131.97833333333
2024-09-03,55830.056666666664
2024-09-04,55213.1875
2024-09-05,56557.84458333333
2024-09-06,56485.05375
2024-09-07,52874.42124999999
2024-09-08,49864.34125
2024-09-09,51927.93791666667
2024-09-10,54115.557499999995
2024-09-11,55420.776666666665
2024-09-12,56233.04708333334
2024-09-13,59393.47083333333
2024-09-14,60922.8825
2024-09-15,59662.68625
2024-09-16,60495.674166666664
2024-09-17,60597.6825
2024-09-18,62681.59791666666
2024-09-19,64805.262083333335
2024-09-20,64488.36916666667
2024-09-21,62359.01833333333
2024-09-22,60579.10791666667
2024-09-23,58303.982083333336
2024-09-24,59237.25833333333
2024-09-25,57344.30625
2024-09-26,53641.42958333334
2024-09-27,53063.35666666667
2024-09-28,52569.86875
2024-09-29,52733.64041666666
2024-09-30,56367.95416666666
2024-10-01,56700.2925
2024-10-02,56264.30416666667
2024-10-03,57559.53041666667
2024-10-04,56649.17916666667
2024-10-05,54973.82750000001
2024-10-06,55900.27458333334
2024-10-07,56607.926666666666
2024-10-08,54051.14708333334
2024-10-09,52342.3675
2024-10-10,53692.28416666667
2024-10-11,53973.50666666666
2024-10-12,53761.46125
2024-10-13,54528.87291666667
2024-10-14,54589.56791666666
2024-10-15,54454.57750000001
2024-10-16,46350.38416666666
2024-10-17,44903.40166666667
2024-10-18,46285.87625
2024-10-19,46611.20916666667
2024-10-20,47247.32708333334
2024-10-21,50206.080416666664
2024-10-22,52339.435
2024-10-23,54300.42958333334
2024-10-24,54608.40583333333
2024-10-25,54593.02416666667
2024-10-26,52156.62791666667
2024-10-27,51764.32
2024-10-28,54812.82958333333
2024-10-29,56287.057916666665
2024-10-30,56964.75916666666
2024-10-31,52864.31458333333
2024-11-01,49301.40625
2024-11-02,49601.81208333333
2024-11-03,51507.5508
2024-11-04,54162.45166666667
2024-11-05,47443.39166666666
2024-11-06,47214.695
2024-11-07,50770.86375
2024-11-08,51064.75583333333
2024-11-09,46061.13125
2024-11-10,46532.8225
2024-11-11,48687.27541666667
2024-11-12,47681.442083333335
2024-11-13,47984.86666666667
2024-11-14,45279.23
2024-11-15,44990.854583333334
2024-11-16,44979.299166666664
2024-11-17,47611.05625
2024-11-18,49299.61208333333
2024-11-19,45658.30291666667
2024-11-20,44232.17333333333
2024-11-21,45874.35666666667
2024-11-22,45649.39333333333
2024-11-23,45154.9625
2024-11-24,45645.988333333335
2024-11-25,47805.862916666665
2024-11-26,46503.80333333334
2024-11-27,47140.07208333333
2024-11-28,44614.988333333335
2024-11-29,45931.33416666667
2024-11-30,46345.58458333334
2024-12-01,45741.517916666664
2024-12-02,47791.09625
2024-12-03,47827.17041666667
2024-12-04,47462.426666666666
2024-12-05,47471.905
2024-12-06,51081.225
2024-12-07,50402.81875
2024-12-08,47853.09375
2024-12-09,47495.31791666666
2024-12-10,49507.4975
2024-12-11,52346.1575
2024-12-12,51480.957916666666
2024-12-13,48233.61791666667
2024-12-14,45758.35791666667
2024-12-15,47088.70208333334
2024-12-16,48557.87083333333
2024-12-17,47985.31041666667
2024-12-18,47053.27208333334
2024-12-19,48402.166666666664
2024-12-20,48159.423749999994
2024-12-21,48709.98875
2024-12-22,47309.15625
2024-12-23,46352.75958333333
2024-12-24,44913.16416666666
2024-12-25,42900.722916666666
2024-12-26,45459.199583333335
2024-12-27,46240.63333333333
2024-12-28,45446.44
2024-12-29,43902.67166666667
2024-12-30,46394.138333333336
