date,Price_t,Load_t,CDD_t,HDD_t,RenewableShare_t
2024-01-01,27.1709375,45346.995,0.0,15.75,0.2235508417499443
2024-01-02,34.483958333333334,50717.41541666666,0.0,21.75,0.1437016669099484
2024-01-03,23.045104166666665,48731.90833333333,0.0,20.0,0.1732075382250323
2024-01-04,20.183125,48622.50416666667,0.0,18.75,0.3215600131005552
2024-01-05,18.194375,46878.33958333333,0.0,15.0,0.3528429717093768
2024-01-06,32.412395833333335,47080.175833333335,0.0,19.0,0.1872355198903723
2024-01-07,27.7053125,46919.31,0.0,18.25,0.4615103362593977
2024-01-08,18.5765625,47346.7875,0.0,9.75,0.5635774528479087
2024-01-09,21.967291666666668,52279.68166666667,0.0,20.0,0.4303413184370256
2024-01-10,15.5715625,50590.18041666667,0.0,18.25,0.4416170633767563
2024-01-11,10.041875,46289.84708333333,0.0,10.5,0.4855305831638949
2024-01-12,11.683541666666663,49032.34916666666,0.0,11.75,0.40020163357366
2024-01-13,3.3047916666666666,51583.28416666667,0.0,20.75,0.385467483298867
2024-01-14,74.06364583333333,63512.52166666667,0.0,33.25,0.207009607853753
2024-01-15,114.12416666666668,72486.21625,0.0,43.5,0.1883955177879517
2024-01-16,148.8234375,71483.36458333333,0.0,43.25,0.1845833794312178
2024-01-17,24.0175,65336.0825,0.0,36.25,0.34694240111626
2024-01-18,16.409895833333334,50876.7225,0.0,17.5,0.3239829894308335
2024-01-19,20.4653125,55990.67916666667,0.0,21.25,0.3824347127928116
2024-01-20,36.10572916666667,61463.06166666667,0.0,33.0,0.2228965315193155
2024-01-21,41.34614583333333,59246.13291666666,0.0,28.25,0.2945165330071122
2024-01-22,78.47833333333334,53899.08,0.0,21.5,0.1610657118824733
2024-01-23,34.26020833333333,48019.30375,0.0,11.25,0.1304509430245369
2024-01-24,27.664270833333333,46372.75833333333,0.0,10.25,0.0923659660132775
2024-01-25,20.31854166666667,44997.340416666666,0.0,10.5,0.1706973024936727
2024-01-26,27.828125,45596.07708333334,0.0,11.75,0.2357623647174146
2024-01-27,20.0859375,45209.00208333333,0.0,12.75,0.370574278542865
2024-01-28,19.16875,46019.637083333335,0.0,16.25,0.200449143636477
2024-01-29,17.434895833333332,45732.213333333326,0.0,13.0,0.2776826759040671
2024-01-30,22.0128125,44003.95416666666,0.0,9.0,0.1986907881596679
2024-01-31,16.456041666666668,43353.74875,0.0,8.25,0.2711419994070785
2024-02-01,15.396666666666668,42660.15708333333,0.0,6.0,0.5248101711585765
2024-02-02,8.205625,42350.38416666666,0.0,3.5,0.5487024625366264
2024-02-03,14.607395833333332,40912.5025,0.0,6.0,0.5419121028086892
2024-02-04,4.982395833333333,41738.43708333333,0.0,8.5,0.6089034936333348
2024-02-05,15.658958333333333,43855.96083333334,0.0,10.75,0.3736542815459751
2024-02-06,19.140104166666667,44154.692500000005,0.0,11.75,0.3249654967742956
2024-02-07,15.249479166666667,43678.79958333333,0.0,9.0,0.5510737701184191
2024-02-08,15.206354166666666,42861.3,0.0,3.5,0.46262388482788
2024-02-09,17.86,43318.54208333333,0.0,2.5,0.3524702027199548
2024-02-10,15.894791666666668,41961.38291666667,0.0,2.25,0.3345068498873818
2024-02-11,8.38875,43677.903333333335,0.0,7.25,0.4869451036773916
2024-02-12,13.986770833333331,46969.28875,0.0,18.25,0.3378984884053755
2024-02-13,17.23302083333333,46514.87291666667,0.0,15.5,0.3774583475029417
2024-02-14,8.596145833333333,44645.71583333333,0.0,11.75,0.5481799997718315
2024-02-15,11.3925,42513.92458333333,0.0,5.25,0.3210920855546375
2024-02-16,10.606145833333334,42684.68333333333,0.0,3.0,0.4935527072717048
2024-02-17,11.597500000000002,48893.12208333333,0.0,19.25,0.4396130371547992
2024-02-18,18.193125,48633.89875,0.0,24.75,0.308933939994241
2024-02-19,22.98125,47263.50125,0.0,15.75,0.40632570831856
2024-02-20,7.053541666666667,44439.60125,0.0,6.25,0.4803310181960431
2024-02-21,7.370625,43245.58708333333,1.25,0.0,0.603043575249836
2024-02-22,18.0559375,43829.67041666667,3.25,0.0,0.5124202650088512
2024-02-23,16.931145833333336,42043.06125,0.0,2.0,0.3057914987887751
2024-02-24,8.9415625,41428.52416666666,0.0,3.25,0.505056105671373
2024-02-25,11.174583333333333,41936.551666666666,1.25,0.0,0.5512733079558209
2024-02-26,11.746875,45942.62291666667,5.75,0.0,0.5160563559580096
2024-02-27,16.042291666666667,46832.28833333333,7.5,0.0,0.5087032999606922
2024-02-28,21.038645833333334,45106.18041666667,0.0,4.25,0.3915067613281188
2024-02-29,27.0103125,47664.388750000006,0.0,18.5,0.2147032575355806
2024-03-01,8.564479166666667,44953.055,0.0,12.5,0.4373435956329397
2024-03-02,10.115625,42428.325,0.0,2.75,0.5508365291458536
2024-03-03,12.132708333333332,42988.565,2.75,0.0,0.5772942218065077
2024-03-04,67.34260416666666,46266.76708333333,5.25,0.0,0.3546926609511803
2024-03-05,21.323229166666668,46416.15,5.5,0.0,0.2810822528550943
2024-03-06,23.657395833333336,44995.13458333333,1.25,0.0,0.2822343463162636
2024-03-07,35.7275,44618.51583333334,3.5,0.0,0.361330663511239
2024-03-08,15.1865625,45463.589166666665,1.0,0.0,0.4883209741871943
2024-03-09,15.403020833333334,41861.49833333333,0.0,12.75,0.4162063365201697
2024-03-10,16.91336956521739,40923.15260869565,0.0,12.5,0.3109165907203516
2024-03-11,7.250833333333333,42245.62416666667,0.0,6.75,0.5057662757218121
2024-03-12,6.7309375,43192.24083333334,0.0,1.5,0.572152007013407
2024-03-13,11.018125,45923.17958333334,5.25,0.0,0.5566297776352858
