date,Price_t,Load_t,CDD_t,HDD_t,RenewableShare_t,ln_Price,ln_Load
2024-01-01,27.1709375,45346.995,0.0,15.75,0.2235508417499443,3.3021847311644787,10.722099212996483
2024-01-02,34.483958333333334,50717.41541666666,0.0,21.75,0.1437016669099484,3.5405232386277277,10.834024649656513
2024-01-03,23.045104166666665,48731.90833333333,0.0,20.0,0.1732075382250323,3.137496738527224,10.794089316956548
2024-01-04,20.183125,48622.50416666667,0.0,18.75,0.3215600131005552,3.0048964043437576,10.791841771978074
2024-01-05,18.194375,46878.33958333333,0.0,15.0,0.3528429717093768,2.9011674409094472,10.755311026511205
2024-01-06,32.412395833333335,47080.175833333335,0.0,19.0,0.1872355198903723,3.4785717889967938,10.759607317385285
2024-01-07,27.7053125,46919.31,0.0,18.25,0.4615103362593977,3.32166027531739,10.756184618090112
2024-01-08,18.5765625,47346.7875,0.0,9.75,0.5635774528479087,2.9219545353285814,10.765254271604416
2024-01-09,21.967291666666668,52279.68166666667,0.0,20.0,0.4303413184370256,3.0896001258250725,10.864363097839604
2024-01-10,15.5715625,50590.18041666667,0.0,18.25,0.4416170633767563,2.74551055162342,10.83151279329787
2024-01-11,10.041875,46289.84708333333,0.0,10.5,0.4855305831638949,2.3068634278536084,10.742677952173599
2024-01-12,11.683541666666663,49032.34916666666,0.0,11.75,0.40020163357366,2.4582667431450855,10.80023556673467
2024-01-13,3.3047916666666666,51583.28416666667,0.0,20.75,0.385467483298867,1.195675980675949,10.85095296811416
2024-01-14,74.06364583333333,63512.52166666667,0.0,33.25,0.207009607853753,4.304938304186807,11.058992372787051
2024-01-15,114.12416666666668,72486.21625,0.0,43.5,0.1883955177879517,4.7372957993010685,11.191151715873607
2024-01-16,148.8234375,71483.36458333333,0.0,43.25,0.1845833794312178,5.00276733942539,11.17722005243093
2024-01-17,24.0175,65336.0825,0.0,36.25,0.34694240111626,3.178824366741849,11.087299743046355
2024-01-18,16.409895833333334,50876.7225,0.0,17.5,0.3239829894308335,2.797945494308711,10.837160799320955
2024-01-19,20.4653125,55990.67916666667,0.0,21.25,0.3824347127928116,3.018780241775001,10.932940530271772
2024-01-20,36.10572916666667,61463.06166666667,0.0,33.0,0.2228965315193155,3.5864792514766317,11.026191666311876
2024-01-21,41.34614583333333,59246.13291666666,0.0,28.25,0.2945165330071122,3.7220033945005335,10.989455806516863
2024-01-22,78.47833333333334,53899.08,0.0,21.5,0.1610657118824733,4.362835320487762,10.89486870665897
2024-01-23,34.26020833333333,48019.30375,0.0,11.25,0.1304509430245369,3.5340137617817056,10.779358391328074
2024-01-24,27.664270833333333,46372.75833333333,0.0,10.25,0.0923659660132775,3.320177866048524,10.744467482480115
