date,Price_t
2024-01-01,27.170937499999997
2024-01-02,34.483958333333334
2024-01-03,23.045104166666665
2024-01-04,20.183125
2024-01-05,18.194375
2024-01-06,32.412395833333335
2024-01-07,27.7053125
2024-01-08,18.576562499999998
2024-01-09,21.967291666666668
2024-01-10,15.571562499999999
2024-01-11,10.041875
2024-01-12,11.683541666666665
2024-01-13,3.3047916666666666
2024-01-14,74.06364583333333
2024-01-15,114.12416666666667
2024-01-16,148.8234375
2024-01-17,24.0175
2024-01-18,16.409895833333334
2024-01-19,20.4653125
2024-01-20,36.10572916666667
2024-01-21,41.34614583333333
2024-01-22,78.47833333333334
2024-01-23,34.26020833333333
2024-01-24,27.664270833333333
2024-01-25,20.31854166666667
2024-01-26,27.828125
2024-01-27,20.0859375
2024-01-28,19.16875
2024-01-29,17.434895833333332
2024-01-30,22.0128125
2024-01-31,16.456041666666668
2024-02-01,15.396666666666667
2024-02-02,8.205625
2024-02-03,14.607395833333333
2024-02-04,4.982395833333333
2024-02-05,15.658958333333333
2024-02-06,19.140104166666667
2024-02-07,15.249479166666667
2024-02-08,15.206354166666666
2024-02-09,17.86
2024-02-10,15.894791666666668
2024-02-11,8.38875
2024-02-12,13.986770833333333
2024-02-13,17.23302083333333
2024-02-14,8.596145833333333
2024-02-15,11.3925
2024-02-16,10.606145833333334
2024-02-17,11.597500000000002
2024-02-18,18.193125
2024-02-19,22.98125
2024-02-20,7.053541666666667
2024-02-21,7.370625
2024-02-22,18.055937500000002
2024-02-23,16.931145833333336
2024-02-24,8.9415625
2024-02-25,11.174583333333333
2024-02-26,11.746875000000001
2024-02-27,16.042291666666667
2024-02-28,21.038645833333334
2024-02-29,27.0103125
2024-03-01,8.564479166666667
2024-03-02,10.115625
2024-03-03,12.132708333333333
2024-03-04,67.34260416666666
2024-03-05,21.323229166666668
2024-03-06,23.657395833333336
2024-03-07,35.7275
2024-03-08,15.1865625
2024-03-09,15.403020833333334
2024-03-10,16.91336956521739
2024-03-11,7.2508333333333335
2024-03-12,6.7309375
2024-03-13,11.018125
2024-03-14,20.860416666666666
2024-03-15,13.021354166666667
2024-03-16,33.415729166666665
2024-03-17,23.382604166666667
2024-03-18,34.895312499999996
2024-03-19,23.11510416666667
2024-03-20,20.565833333333334
