OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
10/02/2024,01:00,15254.99,12303.85,8465.03,12999.37,49023.25,N
10/02/2024,02:00,14251.30,11559.90,8398.57,12422.65,46632.41,N
10/02/2024,03:00,13630.97,11126.08,8323.25,12018.63,45098.93,N
10/02/2024,04:00,13063.23,10806.73,8284.60,11713.17,43867.73,N
10/02/2024,05:00,12878.30,10669.22,8243.09,11708.18,43498.79,N
10/02/2024,06:00,13384.35,10885.75,8267.99,12028.06,44566.15,N
10/02/2024,07:00,14458.80,11540.34,8416.75,12442.66,46858.55,N
10/02/2024,08:00,14814.05,11767.47,8449.79,12533.88,47565.20,N
10/02/2024,09:00,15199.70,12380.18,8834.98,12951.97,49366.83,N
10/02/2024,10:00,16058.71,13338.93,9127.42,14387.48,52912.54,N
10/02/2024,11:00,16884.63,13740.97,9031.73,15172.63,54829.95,N
10/02/2024,12:00,18012.72,14808.23,8739.86,15829.04,57389.84,N
10/02/2024,13:00,19425.53,15838.32,8921.14,16613.75,60798.74,N
10/02/2024,14:00,20832.27,16750.26,9151.13,17419.36,64153.02,N
10/02/2024,15:00,22283.50,17574.37,9355.71,18071.76,67285.34,N
10/02/2024,16:00,23406.53,18223.23,9539.99,18544.05,69713.81,N
10/02/2024,17:00,24206.17,18728.10,9591.77,18695.12,71221.15,N
10/02/2024,18:00,24279.91,18765.30,9475.03,18413.90,70934.13,N
10/02/2024,19:00,23367.41,18280.51,9043.27,17551.62,68242.82,N
10/02/2024,20:00,22079.58,17604.44,8730.60,16909.90,65324.51,N
10/02/2024,21:00,21213.20,16836.22,8780.62,16252.87,63082.90,N
10/02/2024,22:00,20091.45,15866.29,8511.02,15478.78,59947.54,N
10/02/2024,23:00,18564.45,14576.26,8173.57,14548.71,55862.99,N
10/02/2024,24:00,16992.09,13371.71,8220.95,13581.44,52166.18,N
