OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
08/05/2024,01:00,19112.84,14527.57,8211.19,14782.85,56634.45,N
08/05/2024,02:00,17836.76,13768.66,8112.80,14144.34,53862.57,N
08/05/2024,03:00,16782.84,13318.00,8128.55,13675.02,51904.42,N
08/05/2024,04:00,16158.06,12940.72,8041.70,13412.58,50553.06,N
08/05/2024,05:00,15977.72,12622.63,8026.78,13420.57,50047.70,N
08/05/2024,06:00,16255.24,12736.61,8092.26,13639.65,50723.76,N
08/05/2024,07:00,16876.73,13095.84,8344.24,13876.83,52193.63,N
08/05/2024,08:00,17408.33,13410.97,8587.03,14058.41,53464.74,N
08/05/2024,09:00,18627.49,14200.13,9219.08,15145.67,57192.36,N
08/05/2024,10:00,20220.38,15017.46,9325.42,16304.65,60867.91,N
08/05/2024,11:00,22014.52,16353.43,9391.50,17355.56,65115.02,N
08/05/2024,12:00,23922.29,17845.80,9689.45,18522.05,69979.60,N
08/05/2024,13:00,25463.40,18877.46,9749.16,19284.09,73374.11,N
08/05/2024,14:00,26926.52,19795.58,9815.25,19960.57,76497.92,N
08/05/2024,15:00,27952.74,20567.99,9605.73,20449.36,78575.82,N
08/05/2024,16:00,28460.37,21079.94,9365.10,20581.10,79486.51,N
08/05/2024,17:00,28772.01,21376.86,9243.24,20524.59,79916.70,N
08/05/2024,18:00,28871.01,21236.89,9201.73,20311.66,79621.30,N
08/05/2024,19:00,28541.44,21215.94,9311.79,19665.83,78735.01,N
08/05/2024,20:00,27342.74,20587.42,9399.66,18941.91,76271.73,N
08/05/2024,21:00,25901.46,19754.66,9240.13,18451.88,73348.13,N
08/05/2024,22:00,24846.07,18869.39,9077.33,17857.12,70649.91,N
08/05/2024,23:00,23130.27,17546.74,8790.81,16959.79,66427.62,N
08/05/2024,24:00,21211.52,16255.87,8735.45,15924.94,62127.77,N
