OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
06/08/2024,01:00,18583.18,15058.02,8507.48,14934.41,57083.09,N
06/08/2024,02:00,17313.01,14102.29,8383.24,14135.90,53934.44,N
06/08/2024,03:00,16387.33,13332.10,8256.82,13486.64,51462.89,N
06/08/2024,04:00,15751.65,12814.42,8180.68,13023.19,49769.94,N
06/08/2024,05:00,15370.35,12322.51,8111.03,12686.61,48490.50,N
06/08/2024,06:00,15247.22,12106.40,8072.44,12564.08,47990.15,N
06/08/2024,07:00,15253.71,12031.74,8048.39,12466.52,47800.36,N
06/08/2024,08:00,16000.48,12457.96,8190.59,12830.17,49479.20,N
06/08/2024,09:00,17641.43,13380.42,8490.80,13853.84,53366.48,N
06/08/2024,10:00,19107.99,14432.73,8785.66,15044.94,57371.33,N
06/08/2024,11:00,20513.10,15300.33,8828.46,16192.92,60834.80,N
06/08/2024,12:00,21802.92,16410.54,8973.45,17189.39,64376.29,N
06/08/2024,13:00,23047.67,17480.08,9167.26,17965.68,67660.69,N
06/08/2024,14:00,24011.33,18528.69,9303.90,18562.70,70406.61,N
06/08/2024,15:00,24988.94,19289.20,9402.88,18904.45,72585.46,N
06/08/2024,16:00,25770.49,19925.36,9518.36,19200.64,74414.86,N
06/08/2024,17:00,26303.38,20352.40,9530.46,19363.69,75549.93,N
06/08/2024,18:00,26485.32,20531.67,9483.30,19270.95,75771.25,N
06/08/2024,19:00,26242.25,20240.87,9441.13,18876.99,74801.24,N
06/08/2024,20:00,25156.91,19516.98,9311.73,18201.45,72187.07,N
06/08/2024,21:00,23837.42,18497.10,9124.13,17488.27,68946.91,N
06/08/2024,22:00,22953.70,17848.34,9214.49,16876.76,66893.30,N
06/08/2024,23:00,21715.58,16801.08,9220.64,16096.37,63833.67,N
06/08/2024,24:00,20287.87,15581.88,8858.04,15272.73,60000.51,N
