OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
12/12/2024,01:00,16571.77,12365.20,9135.54,11396.21,49468.72,N
12/12/2024,02:00,16512.18,12346.64,9161.35,11327.75,49347.92,N
12/12/2024,03:00,16505.02,12462.14,9321.77,11296.81,49585.74,N
12/12/2024,04:00,16752.38,12697.74,9041.85,11421.12,49913.10,N
12/12/2024,05:00,17223.77,12987.37,9094.47,11770.66,51076.26,N
12/12/2024,06:00,18338.58,13813.08,9236.55,12302.99,53691.19,N
12/12/2024,07:00,20090.75,15130.37,9428.45,13133.57,57783.14,N
12/12/2024,08:00,20769.30,15641.52,9477.70,13431.50,59320.02,N
12/12/2024,09:00,20363.53,14909.72,9409.19,13315.65,57998.09,N
12/12/2024,10:00,19396.16,13776.03,9455.73,12969.45,55597.38,N
12/12/2024,11:00,18331.66,13037.51,9482.28,12626.42,53477.87,N
12/12/2024,12:00,17491.18,12444.33,9428.71,12499.60,51863.83,N
12/12/2024,13:00,16822.79,11840.20,9208.68,11940.21,49811.88,N
12/12/2024,14:00,16359.57,11516.80,9105.80,11791.64,48773.82,N
12/12/2024,15:00,16080.87,11429.97,9009.60,11756.08,48276.53,N
12/12/2024,16:00,16097.77,11515.61,8982.93,11782.20,48378.51,N
12/12/2024,17:00,16524.82,11698.01,9028.80,11699.01,48950.64,N
12/12/2024,18:00,17457.46,12152.95,9040.67,12020.29,50671.37,N
12/12/2024,19:00,17893.01,12469.21,9054.17,12266.21,51682.61,N
12/12/2024,20:00,17941.06,12544.93,9101.07,12260.02,51847.09,N
12/12/2024,21:00,18064.91,12440.73,9078.73,12188.17,51772.55,N
12/12/2024,22:00,17564.29,12090.87,9060.81,11948.86,50664.83,N
12/12/2024,23:00,16801.11,11508.09,8924.22,11428.40,48661.82,N
12/12/2024,24:00,16046.42,11016.95,8876.33,10988.37,46928.08,N
