OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
10/27/2024,01:00,13851.23,11838.37,8221.22,12396.72,46307.54,N
10/27/2024,02:00,13247.64,11263.90,8302.59,11878.92,44693.05,N
10/27/2024,03:00,12667.08,10861.43,8234.05,11511.19,43273.74,N
10/27/2024,04:00,12118.26,10410.63,8150.95,11187.11,41866.96,N
10/27/2024,05:00,11884.30,10183.05,8238.37,10990.37,41296.09,N
10/27/2024,06:00,11867.91,9955.14,8186.50,10898.49,40908.05,N
10/27/2024,07:00,12121.40,10175.89,8131.35,10870.25,41298.89,N
10/27/2024,08:00,12466.91,10216.02,8188.95,10906.28,41778.16,N
10/27/2024,09:00,12957.16,10738.24,8374.70,11261.19,43331.28,N
10/27/2024,10:00,14345.74,11882.03,8920.21,12238.44,47386.42,N
10/27/2024,11:00,14895.09,12647.12,9063.85,13376.71,49982.77,N
10/27/2024,12:00,15798.40,13611.11,8964.44,14399.76,52773.72,N
10/27/2024,13:00,17072.78,14710.22,8869.12,15019.56,55671.68,N
10/27/2024,14:00,18151.05,15649.80,8944.82,15635.85,58381.52,N
10/27/2024,15:00,19295.74,16464.22,9189.82,16288.88,61238.67,N
10/27/2024,16:00,20355.41,16975.78,9300.16,16729.15,63360.51,N
10/27/2024,17:00,20981.95,17280.36,9356.26,16799.62,64418.20,N
10/27/2024,18:00,20982.04,17189.01,9278.39,16413.92,63863.36,N
10/27/2024,19:00,20173.96,16569.83,8844.71,15687.98,61276.48,N
10/27/2024,20:00,19843.21,16134.24,8854.14,15287.28,60118.87,N
10/27/2024,21:00,19552.78,15495.10,9233.41,14748.35,59029.64,N
10/27/2024,22:00,18636.22,14621.70,8964.90,14195.32,56418.14,N
10/27/2024,23:00,17430.36,13702.26,8824.01,13451.69,53408.31,N
10/27/2024,24:00,16084.17,12714.72,8741.96,12720.77,50261.63,N
