OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
03/10/2024,01:00,12817.77,9927.43,7304.78,9343.34,39393.32,N
03/10/2024,02:00,12614.56,9673.62,7236.90,9198.82,38723.89,N
03/10/2024,04:00,12605.34,9560.88,7306.11,9115.30,38587.63,N
03/10/2024,05:00,12802.26,9524.50,7335.31,9142.28,38804.36,N
03/10/2024,06:00,13079.25,9656.10,7493.40,9202.81,39431.56,N
03/10/2024,07:00,13713.92,9857.79,7728.23,9369.76,40669.71,N
03/10/2024,08:00,14447.64,10197.21,7790.08,9580.10,42015.03,N
03/10/2024,09:00,14918.98,10496.76,8015.46,9731.62,43162.82,N
03/10/2024,10:00,14672.75,10465.56,8299.37,9864.39,43302.08,N
03/10/2024,11:00,14153.58,10169.54,8064.01,9960.11,42347.23,N
03/10/2024,12:00,13539.60,10045.24,8049.03,9930.07,41563.94,N
03/10/2024,13:00,13048.01,9879.42,7968.52,9887.23,40783.18,N
03/10/2024,14:00,12711.80,9755.80,7937.41,9897.98,40302.98,N
03/10/2024,15:00,12394.29,9832.67,7900.86,9882.14,40009.95,N
03/10/2024,16:00,12385.64,10003.40,7785.73,9940.44,40115.21,N
03/10/2024,17:00,12448.23,10225.99,7756.36,10002.20,40432.77,N
03/10/2024,18:00,12747.37,10488.47,7832.27,10126.14,41194.25,N
03/10/2024,19:00,13007.03,10599.00,7815.16,10094.50,41515.69,N
03/10/2024,20:00,13395.55,10907.76,7761.13,10272.06,42336.50,N
03/10/2024,21:00,13822.57,11109.71,7883.88,10342.90,43159.06,N
03/10/2024,22:00,13667.76,10878.08,7952.39,10184.24,42682.46,N
03/10/2024,23:00,13132.71,10178.22,7950.45,9892.30,41153.68,N
03/10/2024,24:00,12476.55,9643.88,7943.11,9481.66,39545.21,N
