OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
04/06/2024,01:00,13038.81,10678.32,7616.84,10213.87,41547.85,N
04/06/2024,02:00,12278.19,10183.76,7500.80,9805.46,39768.22,N
04/06/2024,03:00,11799.63,9791.25,7492.59,9534.33,38617.81,N
04/06/2024,04:00,11497.83,9527.83,7478.88,9343.40,37847.93,N
04/06/2024,05:00,11386.18,9520.81,7486.64,9282.11,37675.74,N
04/06/2024,06:00,11455.63,9681.26,7445.93,9394.40,37977.22,N
04/06/2024,07:00,11807.34,9929.19,7464.65,9605.15,38806.33,N
04/06/2024,08:00,12257.74,10180.28,7593.18,9715.52,39746.73,N
04/06/2024,09:00,12916.68,10696.64,7692.02,10217.53,41522.88,N
04/06/2024,10:00,13624.25,11226.11,7812.42,10821.15,43483.93,N
04/06/2024,11:00,14078.87,11670.07,7861.17,11315.00,44925.11,N
04/06/2024,12:00,14382.28,12007.90,8026.80,11809.92,46226.90,N
04/06/2024,13:00,14761.71,12248.64,8115.98,12061.63,47187.97,N
04/06/2024,14:00,14957.84,12411.00,8089.16,12142.04,47600.05,N
04/06/2024,15:00,15085.41,12609.83,8072.96,12283.36,48051.56,N
04/06/2024,16:00,15101.33,12880.23,8121.07,12253.95,48356.58,N
04/06/2024,17:00,15238.45,13309.07,8288.48,12140.26,48976.26,N
04/06/2024,18:00,15428.02,13451.06,8144.66,11930.03,48953.77,N
04/06/2024,19:00,15395.38,13430.62,8044.86,11792.84,48663.69,N
04/06/2024,20:00,15260.16,13223.46,7972.78,11805.28,48261.68,N
04/06/2024,21:00,15351.59,13185.47,8061.46,11900.22,48498.74,N
04/06/2024,22:00,15095.63,12854.19,7972.37,11712.50,47634.69,N
04/06/2024,23:00,14433.91,12278.20,7847.92,11370.00,45930.04,N
04/06/2024,24:00,13527.26,11636.22,7818.31,10980.85,43962.64,N
