OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
12/07/2024,01:00,15558.00,11473.66,9169.31,10843.31,47044.28,N
12/07/2024,02:00,15236.54,11145.95,9058.91,10636.87,46078.28,N
12/07/2024,03:00,15132.08,11160.33,9035.86,10352.60,45680.87,N
12/07/2024,04:00,15273.50,10961.85,9199.60,10264.55,45699.50,N
12/07/2024,05:00,15268.34,11028.80,9179.42,10431.88,45908.45,N
12/07/2024,06:00,15478.62,11289.59,9067.41,10550.22,46385.83,N
12/07/2024,07:00,16033.72,11740.98,9280.91,10839.97,47895.58,N
12/07/2024,08:00,16782.11,12157.71,9351.93,11176.43,49468.18,N
12/07/2024,09:00,17417.21,12855.94,9373.88,11499.35,51146.37,N
12/07/2024,10:00,17897.44,13500.95,9475.82,11926.07,52800.28,N
12/07/2024,11:00,18196.23,13720.08,9674.73,12159.27,53750.31,N
12/07/2024,12:00,17928.28,13744.84,9791.91,12160.45,53625.47,N
12/07/2024,13:00,17740.37,13699.70,9942.13,12209.59,53591.78,N
12/07/2024,14:00,17621.78,13560.54,9657.05,12098.70,52938.07,N
12/07/2024,15:00,17708.54,13344.39,9547.77,11918.44,52519.15,N
12/07/2024,16:00,18009.67,13244.25,9449.49,11798.56,52501.97,N
12/07/2024,17:00,17959.91,13300.70,9345.71,11737.80,52344.12,N
12/07/2024,18:00,18440.45,13548.43,9199.49,12036.84,53225.20,N
12/07/2024,19:00,18420.32,13657.97,9107.66,12083.40,53269.34,N
12/07/2024,20:00,18176.58,13443.60,9140.49,11976.93,52737.60,N
12/07/2024,21:00,17896.21,13194.01,9279.43,11822.05,52191.69,N
12/07/2024,22:00,17466.46,12878.39,9304.02,11594.32,51243.20,N
12/07/2024,23:00,16835.21,12466.13,9154.90,11245.42,49701.67,N
12/07/2024,24:00,16146.75,11881.25,9002.39,10890.07,47920.46,N
