OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
03/09/2024,01:00,12868.43,9968.60,8093.88,10166.18,41097.09,N
03/09/2024,02:00,12513.10,9601.65,8085.57,9766.16,39966.47,N
03/09/2024,03:00,12342.04,9317.20,8056.91,9415.50,39131.65,N
03/09/2024,04:00,12323.78,9277.74,8010.49,9215.96,38827.96,N
03/09/2024,05:00,12467.04,9273.30,8070.99,9104.77,38916.10,N
03/09/2024,06:00,12870.59,9466.44,8124.68,9103.41,39565.12,N
03/09/2024,07:00,13580.52,9822.86,8232.46,9248.72,40884.56,N
03/09/2024,08:00,14425.02,10289.86,8325.59,9404.68,42445.15,N
03/09/2024,09:00,15240.02,10860.22,8398.06,9814.28,44312.58,N
03/09/2024,10:00,15531.38,10934.03,8362.65,10176.76,45004.82,N
03/09/2024,11:00,15139.93,10827.49,8339.16,10467.57,44774.16,N
03/09/2024,12:00,14618.82,10687.18,8190.30,10525.58,44021.88,N
03/09/2024,13:00,13938.35,10401.07,8105.78,10454.03,42899.23,N
03/09/2024,14:00,13458.23,10333.04,8031.83,10345.90,42169.00,N
03/09/2024,15:00,13015.11,10274.00,7944.55,10169.79,41403.45,N
03/09/2024,16:00,12769.44,10423.54,7831.60,10107.64,41132.21,N
03/09/2024,17:00,12852.11,10533.70,7846.10,10089.23,41321.14,N
03/09/2024,18:00,13090.62,10722.24,7898.27,10093.48,41804.61,N
03/09/2024,19:00,13732.53,11065.07,7742.05,10405.25,42944.90,N
03/09/2024,20:00,14172.17,11351.95,7737.32,10517.98,43779.42,N
03/09/2024,21:00,14057.83,11201.47,7703.64,10315.35,43278.29,N
03/09/2024,22:00,13959.40,10969.44,7586.52,10130.54,42645.90,N
03/09/2024,23:00,13641.79,10678.02,7506.39,9902.22,41728.41,N
03/09/2024,24:00,13208.56,10283.37,7509.41,9620.51,40621.86,N
