OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
02/25/2024,01:00,11787.78,9478.84,7557.10,9577.04,38400.75,N
02/25/2024,02:00,11301.08,9050.46,7550.85,9375.16,37277.54,N
02/25/2024,03:00,11022.17,8842.90,7592.22,9202.47,36659.76,N
02/25/2024,04:00,10855.72,8727.50,7600.57,9056.62,36240.42,N
02/25/2024,05:00,10930.45,8818.58,7541.30,9041.46,36331.79,N
02/25/2024,06:00,11154.41,8933.98,7551.75,9119.25,36759.40,N
02/25/2024,07:00,11630.63,9125.09,7597.79,9279.65,37633.15,N
02/25/2024,08:00,12037.62,9353.31,7643.84,9397.50,38432.27,N
02/25/2024,09:00,12497.11,9687.74,7840.02,9690.44,39715.30,N
02/25/2024,10:00,12666.91,10212.86,7981.40,10021.82,40883.00,N
02/25/2024,11:00,12772.71,10345.40,7668.82,10296.97,41083.91,N
02/25/2024,12:00,12914.52,10577.20,7626.79,10549.81,41668.32,N
02/25/2024,13:00,13345.24,10932.84,7695.58,10856.61,42830.27,N
02/25/2024,14:00,13627.29,11304.07,7769.78,11135.71,43836.85,N
02/25/2024,15:00,14050.71,12075.79,8031.30,11398.79,45556.59,N
02/25/2024,16:00,14520.69,12529.63,7848.39,11636.08,46534.79,N
02/25/2024,17:00,15018.93,13004.92,7983.70,11735.70,47743.26,N
02/25/2024,18:00,15301.28,13182.82,7951.28,11685.82,48121.19,N
02/25/2024,19:00,15352.91,13277.46,7654.28,11668.63,47953.29,N
02/25/2024,20:00,15359.52,13255.51,7706.59,11709.60,48031.22,N
02/25/2024,21:00,14904.89,12804.90,7293.87,11451.92,46455.57,N
02/25/2024,22:00,14335.38,12278.32,7205.76,11145.77,44965.23,N
02/25/2024,23:00,13330.31,11451.25,7235.50,10716.59,42733.66,N
02/25/2024,24:00,12343.70,10612.96,7417.95,10255.10,40629.71,N
