OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
02/02/2024,01:00,12031.51,9352.99,7660.30,9181.03,38225.83,N
02/02/2024,02:00,11688.00,9139.66,7433.72,8985.07,37246.45,N
02/02/2024,03:00,11464.36,9039.11,7354.24,8866.06,36723.76,N
02/02/2024,04:00,11529.05,8866.28,7260.54,8852.85,36508.72,N
02/02/2024,05:00,11789.76,8971.73,7300.51,9019.93,37081.93,N
02/02/2024,06:00,12597.23,9519.63,7530.45,9490.93,39138.23,N
02/02/2024,07:00,13790.77,10297.25,7685.93,10173.55,41947.51,N
02/02/2024,08:00,14495.34,10796.80,7760.47,10463.30,43515.92,N
02/02/2024,09:00,14817.75,10981.66,7781.15,10515.94,44096.50,N
02/02/2024,10:00,15055.59,11146.26,7752.38,10651.10,44605.33,N
02/02/2024,11:00,15079.93,11252.73,7675.63,10858.67,44866.96,N
02/02/2024,12:00,14969.69,11240.86,7645.78,10965.10,44821.44,N
02/02/2024,13:00,14921.63,11474.58,7665.87,11014.63,45076.72,N
02/02/2024,14:00,14814.33,11443.20,7639.36,11076.53,44973.42,N
02/02/2024,15:00,14646.34,11389.52,7691.07,11022.80,44749.73,N
02/02/2024,16:00,14631.07,11472.73,7607.88,10952.50,44664.18,N
02/02/2024,17:00,14742.46,11601.92,7390.11,10910.32,44644.81,N
02/02/2024,18:00,14877.61,11655.95,7402.92,10908.53,44845.01,N
02/02/2024,19:00,14987.40,11919.16,7581.14,10988.07,45475.78,N
02/02/2024,20:00,14723.31,11802.69,7652.89,10774.88,44953.78,N
02/02/2024,21:00,14391.77,11440.86,7608.20,10620.45,44061.27,N
02/02/2024,22:00,13902.14,11057.03,7651.49,10390.59,43001.26,N
02/02/2024,23:00,13350.73,10482.69,7573.98,10046.25,41453.65,N
02/02/2024,24:00,12666.84,9885.37,7521.05,9657.77,39731.03,N
