OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
03/14/2024,01:00,13080.82,11569.43,7997.81,10970.25,43618.31,N
03/14/2024,02:00,12411.48,11092.48,7648.49,10559.17,41711.61,N
03/14/2024,03:00,11930.37,10658.65,7481.23,10235.55,40305.78,N
03/14/2024,04:00,11679.96,10535.33,7346.10,10115.53,39676.91,N
03/14/2024,05:00,11805.84,10560.24,7502.61,10214.56,40083.24,N
03/14/2024,06:00,12224.71,10744.32,7526.03,10535.43,41030.49,N
03/14/2024,07:00,13120.43,11208.87,7701.39,10950.55,42981.24,N
03/14/2024,08:00,13772.02,11590.17,7806.34,11272.38,44440.90,N
03/14/2024,09:00,14112.88,11772.02,7760.17,11522.33,45167.40,N
03/14/2024,10:00,14691.19,12008.71,7829.13,11847.24,46376.27,N
03/14/2024,11:00,15055.49,12444.20,8071.25,12302.50,47873.44,N
03/14/2024,12:00,15339.73,12786.97,8063.00,12840.04,49029.74,N
03/14/2024,13:00,15647.45,13194.40,8080.31,13297.90,50220.06,N
03/14/2024,14:00,15915.89,13551.82,8373.72,13546.81,51388.24,N
03/14/2024,15:00,16359.24,13694.70,8244.00,13563.90,51861.85,N
03/14/2024,16:00,16471.79,13839.30,8246.93,13703.25,52261.27,N
03/14/2024,17:00,16584.65,14002.84,8360.92,13775.59,52723.99,N
03/14/2024,18:00,16629.65,14011.07,8284.85,13588.68,52514.25,N
03/14/2024,19:00,16529.34,13961.39,8233.97,13226.88,51951.57,N
03/14/2024,20:00,16435.43,13820.43,8161.90,13182.79,51600.56,N
03/14/2024,21:00,16380.98,13746.06,8078.93,13128.27,51334.23,N
03/14/2024,22:00,15962.37,13257.80,8038.95,12854.42,50113.54,N
03/14/2024,23:00,15175.66,12789.49,7973.71,12448.36,48387.23,N
03/14/2024,24:00,14227.71,12071.57,7994.65,11928.91,46222.84,N
