OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
11/20/2024,01:00,12365.69,9758.61,7894.89,10140.13,40159.32,N
11/20/2024,02:00,11951.07,9378.83,7988.73,9787.15,39105.78,N
11/20/2024,03:00,11775.55,9047.58,8009.01,9623.72,38455.86,N
11/20/2024,04:00,11698.24,8895.15,8092.54,9584.89,38270.82,N
11/20/2024,05:00,12048.52,9230.17,8200.09,9747.22,39226.01,N
11/20/2024,06:00,12961.03,9794.15,8339.64,10146.46,41241.28,N
11/20/2024,07:00,14264.44,10547.31,8216.91,10716.92,43745.58,N
11/20/2024,08:00,14898.38,10776.37,8241.19,10872.64,44788.59,N
11/20/2024,09:00,15005.16,10790.86,9442.17,11191.07,46429.26,N
11/20/2024,10:00,15086.91,10764.15,9571.26,11659.25,47081.57,N
11/20/2024,11:00,14924.78,10666.54,9243.93,11405.40,46240.65,N
11/20/2024,12:00,14802.85,10657.42,8615.81,11410.02,45486.10,N
11/20/2024,13:00,14685.17,10813.36,8626.78,11457.83,45583.13,N
11/20/2024,14:00,14674.33,11036.42,8614.49,11563.54,45888.78,N
11/20/2024,15:00,14641.15,11218.74,8579.01,11568.97,46007.86,N
11/20/2024,16:00,14684.97,11400.59,8636.38,11546.46,46268.40,N
11/20/2024,17:00,14912.47,11658.15,8521.51,11643.83,46735.96,N
11/20/2024,18:00,15285.19,11790.58,7975.02,11357.21,46408.00,N
11/20/2024,19:00,15752.77,12096.99,7779.07,11538.39,47167.22,N
11/20/2024,20:00,15770.97,12024.16,7861.69,11567.12,47223.95,N
11/20/2024,21:00,15790.07,11756.02,8270.56,11280.95,47097.60,N
11/20/2024,22:00,15380.44,11452.83,8486.33,10963.40,46283.01,N
11/20/2024,23:00,14616.41,10754.16,8312.78,10482.20,44165.55,N
11/20/2024,24:00,13943.91,10126.34,8364.96,10076.67,42511.88,N
